Date,SP500Ex7
6/30/2016,1365.5
7/1/2016,1367.72
7/5/2016,1357.83
7/6/2016,1364.55
7/7/2016,1363.28
7/8/2016,1384.41
7/11/2016,1388.46
7/12/2016,1398.61
7/13/2016,1399.44
7/14/2016,1406.3
7/15/2016,1405.2
7/18/2016,1406.99
7/19/2016,1404.82
7/20/2016,1408.96
7/21/2016,1404.04
7/22/2016,1410.68
7/25/2016,1406.54
7/26/2016,1407.54
7/27/2016,1402.53
7/28/2016,1403.36
7/29/2016,1404.46
8/1/2016,1400.99
8/2/2016,1392.24
8/3/2016,1396.57
8/4/2016,1396.07
8/5/2016,1407.62
8/8/2016,1405.69
8/9/2016,1405.87
8/10/2016,1401.83
8/11/2016,1409.03
8/12/2016,1407.77
8/15/2016,1411.86
8/16/2016,1404.16
8/17/2016,1406.77
8/18/2016,1410.48
8/19/2016,1408.47
8/22/2016,1407.89
8/23/2016,1410.54
8/24/2016,1403.06
8/25/2016,1400.9
8/26/2016,1398.2
8/29/2016,1405.94
8/30/2016,1403.81
8/31/2016,1400.29
9/1/2016,1399.64
9/2/2016,1405.46
9/6/2016,1408.56
9/7/2016,1407.91
9/8/2016,1406.23
9/9/2016,1371.53
9/12/2016,1391.4
9/13/2016,1368.47
9/14/2016,1365.74
9/15/2016,1378.01
9/16/2016,1372.11
9/19/2016,1373.19
9/20/2016,1373.35
9/21/2016,1388.81
9/22/2016,1397.43
9/23/2016,1389.9
9/26/2016,1377.65
9/27/2016,1385.56
9/28/2016,1392.96
9/29/2016,1380
9/30/2016,1391.47
10/3/2016,1386.82
10/4/2016,1379
10/5/2016,1385.07
10/6/2016,1385.4
10/7/2016,1380.33
10/10/2016,1385.54
10/11/2016,1367.27
10/12/2016,1368.35
10/13/2016,1364.65
10/14/2016,1364.49
10/17/2016,1360.28
10/18/2016,1368.4
10/19/2016,1371.46
10/20/2016,1369.99
10/21/2016,1367.68
10/24/2016,1372.08
10/25/2016,1366.43
10/26/2016,1366.18
10/27/2016,1363.06
10/28/2016,1359.77
10/31/2016,1359.73
11/1/2016,1350.91
11/2/2016,1343.02
11/3/2016,1338.92
11/4/2016,1337.46
11/7/2016,1366.85
11/8/2016,1371.43
11/9/2016,1389.99
11/10/2016,1398.16
11/11/2016,1395.43
11/14/2016,1399.61
11/15/2016,1407.81
11/16/2016,1403.04
11/17/2016,1408.84
11/18/2016,1405.68
11/21/2016,1414.42
11/22/2016,1417.54
11/23/2016,1420.18
11/25/2016,1426.14
11/28/2016,1417.88
11/29/2016,1419.69
11/30/2016,1417.98
12/1/2016,1415.15
12/2/2016,1415.51
12/5/2016,1422.68
12/6/2016,1427.86
12/7/2016,1446.53
12/8/2016,1449.55
12/9/2016,1456.99
12/12/2016,1456.09
12/13/2016,1464.03
12/14/2016,1450.7
12/15/2016,1456.97
12/16/2016,1454.69
12/19/2016,1456.41
12/20/2016,1461.88
12/21/2016,1457.89
12/22/2016,1455.72
12/23/2016,1458.05
12/27/2016,1460.44
12/28/2016,1447.94
12/29/2016,1447.87
12/30/2016,1442.71
1/3/2017,1455.07
1/4/2017,1464.11
1/5/2017,1461.21
1/6/2017,1464.34
1/9/2017,1457.54
1/10/2017,1457.75
1/11/2017,1461.19
1/12/2017,1457.79
1/13/2017,1460.34
1/17/2017,1455.73
1/18/2017,1458.57
1/19/2017,1452.97
1/20/2017,1458.13
1/23/2017,1452
1/24/2017,1461.91
1/25/2017,1472.82
1/26/2017,1470.88
1/27/2017,1469.09
1/30/2017,1461.18
1/31/2017,1460.78
2/1/2017,1457.71
2/2/2017,1459.03
2/3/2017,1471.38
2/6/2017,1467.03
2/7/2017,1466.46
2/8/2017,1466.71
2/9/2017,1475.69
2/10/2017,1481.53
2/13/2017,1489.09
2/14/2017,1495.16
2/15/2017,1503.41
2/16/2017,1501.72
2/17/2017,1504.17
2/21/2017,1513.4
2/22/2017,1510.98
2/23/2017,1512.51
2/24/2017,1515.34
2/27/2017,1516.73
2/28/2017,1513.12
3/1/2017,1533.42
3/2/2017,1524.93
3/3/2017,1525.25
3/6/2017,1519.93
3/7/2017,1514.53
3/8/2017,1510.07
3/9/2017,1511.38
3/10/2017,1516.34
3/13/2017,1516.6
3/14/2017,1511.16
3/15/2017,1524.44
3/16/2017,1521.38
3/17/2017,1519.09
3/20/2017,1514.78
3/21/2017,1496.38
3/22/2017,1497.91
3/23/2017,1497.07
3/24/2017,1495.75
3/27/2017,1493.54
3/28/2017,1503.81
3/29/2017,1504.14
3/30/2017,1508.99
3/31/2017,1504.97
4/3/2017,1501.7
4/4/2017,1502.25
4/5/2017,1497.55
4/6/2017,1501.55
4/7/2017,1500.68
4/10/2017,1501.71
4/11/2017,1500.41
4/12/2017,1494.31
4/13/2017,1483.79
4/17/2017,1495.78
4/18/2017,1491.23
4/19/2017,1488.54
4/20/2017,1499.65
4/21/2017,1494.06
4/24/2017,1509.5
4/25/2017,1518.58
4/26/2017,1518.14
4/27/2017,1518.03
4/28/2017,1512.35
5/1/2017,1511.72
5/2/2017,1513.38
5/3/2017,1511.32
5/4/2017,1512.8
5/5/2017,1519.15
5/8/2017,1516.46
5/9/2017,1514.25
5/10/2017,1515.75
5/11/2017,1511.99
5/12/2017,1507.91
5/15/2017,1515.95
5/16/2017,1513.62
5/17/2017,1488.78
5/18/2017,1492.17
5/19/2017,1503.11
5/22/2017,1510.16
5/23/2017,1513.05
5/24/2017,1516.44
5/25/2017,1521.88
5/26/2017,1521.95
5/30/2017,1519.09
5/31/2017,1519.85
6/1/2017,1532.62
6/2/2017,1535.93
6/5/2017,1533.33
6/6/2017,1528.85
6/7/2017,1530.68
6/8/2017,1530.62
6/9/2017,1537.19
6/12/2017,1538.43
6/13/2017,1543.78
6/14/2017,1543.24
6/15/2017,1540.78
6/16/2017,1541.29
6/19/2017,1551.84
6/20/2017,1541.66
6/21/2017,1538.77
6/22/2017,1538.37
6/23/2017,1539.58
6/26/2017,1542.19
6/27/2017,1532.37
6/28/2017,1544.64
6/29/2017,1533.53
6/30/2017,1536.61
7/3/2017,1543.18
7/5/2017,1543.07
7/6/2017,1528.17
7/7/2017,1536.38
7/10/2017,1535.41
7/11/2017,1533.33
7/12/2017,1543.18
7/13/2017,1545.31
7/14/2017,1551.58
7/17/2017,1550.77
7/18/2017,1549.87
7/19/2017,1558.11
7/20/2017,1557.73
7/21/2017,1557.3
7/24/2017,1553.75
7/25/2017,1559.97
7/26/2017,1559.82
7/27/2017,1560.15
7/28/2017,1558.28
7/31/2017,1559.96
8/1/2017,1563.31
8/2/2017,1561.38
8/3/2017,1558.91
8/4/2017,1561.09
8/7/2017,1562.24
8/8/2017,1557.5
8/9/2017,1557.01
8/10/2017,1537
8/11/2017,1537.18
8/14/2017,1551.12
8/15/2017,1549.77
8/16/2017,1552.49
